Window Size,MSE,MAE
40,0.03153260634477536,0.14773379726534183
45,0.019947052550654626,0.11031796209985323
50,0.05479113237991173,0.1630815301604363
55,0.021043036826680107,0.11509885553785935
60,0.04753007810962461,0.17355670179273536
65,0.06546076829169693,0.20679704822231773
70,0.029599467147317413,0.14148594563068606
