,window_size,mse
0,1,0.03874501624411043
1,2,0.030229511416690825
2,3,0.030763702040276585
3,4,0.029201644647345645
4,5,0.030674274258825743
5,6,0.019729693740110247
6,7,0.04405937733860457
7,8,0.030201416703828032
8,9,0.054572819063506445
9,10,0.030147634453763006
10,11,0.08212571289938517
11,12,0.062182822251368314
12,13,0.040075272635531435
13,14,0.022876995201881273
14,15,0.0715587770108127
15,16,0.03523412380599903
16,17,0.02476775126754619
17,18,0.0742036211564621
18,19,0.05297136434680038
19,20,0.03165211029535235
20,21,0.040369709715293994
21,22,0.035539182133220173
22,23,0.033369859152636565
23,24,0.01835605870448404
24,25,0.04270590987201509
25,26,0.027299663679832026
26,27,0.0951294071549095
27,28,0.02091142768311651
28,29,0.0697139401196511
29,30,0.03114823249770404
30,31,0.07818458515833134
31,32,0.0781710263968513
32,33,0.07989800550968723
33,34,0.08660391986039956
34,35,0.03411030706213901
35,36,0.08245835829180001
36,37,0.027608132160796453
37,38,0.08447700963245083
38,39,0.07824348155872758
39,40,0.03243479803534303
40,41,0.11621351380380159
41,42,0.04247092709202373
42,43,0.028856347437370086
43,44,0.07240543135532278
44,45,0.0303424183788277
45,46,0.02856421204181971
46,47,0.03199628209764497
47,48,0.030400646462616837
48,49,0.00671201132902867
49,50,0.03087220625339162
50,51,0.07145222552278939
51,52,0.03017152157955606
52,53,0.011735188636240419
53,54,0.034212054188688154
54,55,0.08209550515564171
55,56,0.07389853963560687
56,57,2.167600183019845e+34
57,58,0.08310766903598232
58,59,0.06507162937922001
59,60,0.03579123930120603
60,61,0.04071639577751479
61,62,0.03181012791720327
62,63,0.08805885597030068
63,64,0.050160648361493275
64,65,0.07976472193301486
65,66,0.03532408548212622
66,67,0.09006523692318073
67,68,0.04213827988483862
68,69,0.040472721919588166
69,70,0.03117363260763904
70,71,0.044690278192115886
71,72,0.03452390469407277
72,73,0.030209476337464684
73,74,0.036858214730258416
74,75,0.06322206406902067
75,76,0.07845172037893539
76,77,0.035833348391047626
77,78,0.06350611581413423
78,79,0.05607953996240534
79,80,0.08377655392318417
80,81,0.08337065170994967
81,82,0.044744646304927756
82,83,0.08223167487105716
83,84,0.0779471272386379
84,85,0.08650599761442024
85,86,0.08698036819917597
86,87,0.05620381599339637
87,88,0.09448782468068108
88,89,0.029358248239161545
89,90,0.03138562487000773
90,91,0.04454688855676563
91,92,0.030256867032039336
92,93,0.031056246640550664
93,94,0.09298359781511614
94,95,0.09224121041462276
95,96,0.03123567067369799
96,97,0.030277930322929532
97,98,0.012496156342101758
98,99,0.07798786743729645
